id,channel,category,title,content,view_cnt,like_cnt,comment_cnt,created_at,own_company,url
60,mam2bebe,의류,"탑텐키즈 플러스웜 후드 디테처블 경량 패딩 21,940원 <품절>","언니가 경량패딩 찾아봐달라고해서 찾은건데
지금 저렴한 경량패딩들 사이즈 다 빠졌더라구요ㅡ
이거 디자인도 가격도 괜찮고 사이즈도 골고루있어요.

특히 저 베이지는...제가 예전에 뉴발에서샀던거랑 비슷,ㅋㅋ
경량패딩도 후드달린게 더따뜻하고 좋긴하더라구요 ㅎㅎ 
후드 탈부착가능

​3만이상 무배.

​지마켓 10월미구매인분들은 2천원 쿠폰도받으세요!",33000,460,163,2025-10-21 12:31:00,0,
61,mam2bebe,의류,"네파키즈 경량 패딩 운동화 30,100 유클(무배)","발볼이 있어서 이런 신발 선호하는데 겨울 패딩으로 가성비 있어 보여요
발통통이는 스포츠브랜드가 최고 ㅠ
유클 기준 저 가격입니다",12000,357,52,2025-10-21 13:11:00,0,
62,mam2bebe,의류,"에고이스트 시그니처 구스다운 패딩 158,070원","작년에 환승연애에 엄청 빠졌었는데
성해은님이 이거 입은 거 보고 살까말까 하다 말았는데
이번에 한정수량 딜 가격 반값도 안돼서
저 바로 질렀어요!!! ㅋㅋㅋㅋ",11000,172,84,2025-10-21 17:01:00,0,
63,mam2bebe,잡화,"슈펜 패딩 호보백 10,920원 (착샷있어요ㅎㅎ)","가격 싸서 기대안했는데 너무 귀엽네요 ㅋㅋㅋㅋ
만원 정도인데 완전 기대 이상이에요
간단하게 들고댕기려구여~",14000,257,64,2025-10-21 18:13:00,1,
64,mam2bebe,의류,"폴햄키즈 놀이터용 가성비! 후드 숏 덕다운 점퍼 32,960원 무배","이거 완전 놀이터용으로 딱 이네요ㅋㅋ
3만원짜리 덕다운패딩 너무싸서 아묻따 고~
놀이터가면 바닥에 패딩 던져놓기도하고 뒹굴고
난리난리;; 놀이터갈때만 입혀도 본전뽑겠네요",17000,268,120,2025-10-21 22:06:00,1,
65,mam2bebe,의류,후드 골지 집업 가디건 팬츠 셋업 27810원 무배,"요거 셋업인데 가격 너무 좋네요
롯데 카드로 결제 하면 27810원에 구매가능요

날추워지면 따뜻하고 편한옷에 손이 젤 많이 가는데
셋업 편하고 예뻐서 잘 사고 공유해요",7403,169,26,2025-10-22 0:16:00,1,
66,mam2bebe,의류,"젝시믹스 브랜드데이공유! 오버사이즈 하이넥점퍼 64,260원","젝시믹스 브랜드데이인데
집에서도 입기 좋아서 올려봐요
오버사이즈 하이넥 점퍼 이뻐요",9489,118,40,2025-10-22 9:22:00,0,
67,mam2bebe,뷰티,"일리윤 바디로션 고보습 대용량 울트라 리페어로션 528ml+350ml 21,400원",적립포인트도 좋네요~,4380,110,62,2025-10-22 10:28:00,0,
68,mam2bebe,의류,"레이어드용으로 너무 좋은 크렘므 베티라벨티셔츠 19,300원","이거 저번에도 추천했었는데 요즘 날씨 쌀쌀해지니
자주입게되서  다시 추천하러왔어요ㅎㅎ

이거 단독으로 입기 부담스러운분들도 많을텐데
니트나 맨투맨에 받쳐입으면 
심심하게 하나만 입는거보다 훨씬예뻐요.

​사이즈는 보통 66정도까지만 추천합니다😅

​
컬러는 다양하지만  아이보리,그레이 추천..!",27000,503,127,2025-10-22 10:46:00,0,
69,mam2bebe,의류,"예일키즈 긴팔 상하세트 균일가 26,810원 무배","세미오버핏이라 편해서 아이가 잘입고다녀요~!!
맨투맨셋업, 하프집업중에 선택가능하고
유클회원은 2만원대라 가격좋아요",6405,153,22,2025-10-22 11:17:00,0,
70,mam2bebe,의류,내셔널지오그래픽 키즈 헤론 경량 패딩 점퍼 2종택 71591원,"블랙/아이보리 있고,
사이즈는 120부터 170까지 있어서 엄마들도 가능할듯요 ㅎㅎ
페이코 6% 쿠폰도 쓰세요 ",6912,71,12,2025-10-22 11:20:00,0,
71,mam2bebe,의류,밍크 코듀로이 후드집업9810원(140~170),80,8944,80,26,2025-10-22 11:23:00,0,
72,mam2bebe,의류,"탑텐 후드 경량점퍼 26,910원 유배","후드 탈부착 되는 점퍼인가봐요
3만이상시 무배라
저는 긴팔티셔츠 한장 끼워서 구매했어요

블랙도 큰 사이즈는 몇개 남아있는데
아이 경량 점퍼 없으시면 달리세요~~",9327,126,26,2025-10-22 16:30:00,1,
